transcript,label
" Dear customer, this call is from Amazon Customer Support. This is to notify you",0
" Regarding your today's purchase on Amazon.com, you have been charged $349.",0
 $99 cents on your Visa card. If you have made,0
 Oh no. You have done contact.,0
 The man is on this call as it regard to authorize a payment of $299.,0
 We would like you to inform that there has been an order place for an apple I,0
 on 11 pro using your account. If you do not authorize.,0
 then press 1 to speak our representatives. Or press 2 to authorize.,0
 Thank you.,0
 1.5kg 1kg 1kg 1kg 1kg 1kg 1kg 1kg 1kg 1kg 1kg 1kg 1kg 1kg,0
 We would like to inform you that there is an order placed for...,0
 Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order.,0
" Press 1, or press 2 to authorize the order.",0
 There is an order placed for Apple iPhone 11 Pro using your Amazon account.,0
" If you do not authorize this order, press 1 or 2 to authorize this order.",0
 There is an order placed for Apple iPhone 11 Pro using your Amazon account.,0
" If you do not authorize this order, press 1 or press 2 to authorize this order.",0
 order placed for Apple iPhone 11 Pro using your Amazon account.,0
 not authorize the order. Press 1 or 2 to authorize the order.,0
 in order to play it for Apple iPhone 11 Pro using your Amazon account. If you do,0
 do not authorize this order. Press 1 or press 2 to authorize this order.,0
 $199. We would like to inform you that there is an order placed for.,0
 Half a life on 11 Pro using your Amazon account. If you do not authorize this order.,0
 Press 1 or press 2 to authorize the order.,0
 order placed for Apple iPhone 11 Pro using your Amazon account. If you do,0
 not authorize this order. Press 1 or 2 to authorize this order.,0
 There's an order placed for Apple iPhone 11 Pro using your Amazon account.,0
" Do not authorize the order, press 1, or press 2 to authorize the order.",0
" Hello, we are from debt-release solutions. We work with all your lenders such as Chase.",0
" Bank of America, discover Wells Fargo and 20 others. Please press 1 to see...",0
 our live representative. Please press one now.,0
 minutes. Do the task to do balance on your account if you find this to be an,0
" error or would like to stop the interruption, please press one to speak with the billing department.",0
" Otherwise, please press 2 to speak with the disconnection department. Thank you for choosing.",0
 our services.,0
 You have an automatic utility outage within the next 30 to 45 minutes.,0
" Due to past due balance on your account, if you find this to be an error",0
" would like to stop the interruption, please press one to speak with the billing department, otherwise...",0
 please press 2 to speak with the disconnection department. Thank you for choosing our,0
 services.,0
,0
,0
,0
,0
,0
,0
,0
,0
 for rate reduction is about to expire. Press one for more information or hang up this call.,0
 Oh.,0
 We've been trying to reach you concerning your vehicle's extended warranty. Now you should have reached...,0
 something in the mail about that working and since we've not got any response.,0
 We're going to give you a final courtesy call before we close out your file. You can press 1.,0
 the speaker someone about possibly regenerating or extending your warranty.,0
 4x2 to be put on our D-Night call. 4x800 number 833304,0
" 1447, U.S. T-456.",0
 out your file. Press 2 to be put on our do not call list or press 1 to speak to some,0
 about possibly extending or reinstating your car's warranty. Again press...,0
 to speak to a warranty specialist. Orcar 800 number 8333041447.,0
 UST456.,0
" to receive something in the mail about that law, since we've not got nourished.",0
" on, working with final courtesy calls before we close out your file.",0
 You can press one to speak with someone about possibly regent stating or extending your warrant.,0
 or press cheat to be put on our D-N-R call number. Or call 800 number 834.,0
" 33041447, USC 456.",0
 Hi there. I am calling you from Expendity Comcast Cable.,0
" To let you know that your existing account is qualified for 50% off, in order to be able to",0
" In order to avail the discount, kindly call us back at 855-9-",0
 1-5-1076. It's 855-9-5-106.,0
 107-6 from 8am till 9pm Pacific,0
 standard time. Thank you and have a great day.,0
 ДИНАМИЧНАЯ МУЗЫКА ДИНАМИЧНАЯ МУЗЫКА,0
" In notifications' dark mint witcher's eCentral Power and Light, you have an automatic",0
" The interruption of service in the next 30 to 45 minutes, due to request of this?",0
" If you continue with the service or delinquent account status, if you find this to be an error and-",0
" If you would like to stop the interruptions, please press warrant to speak with the notifications and",0
 The Justice Connections Department for Jersey Central Power and Light to rectify the issue,0
" and stop the interruption. Again, this is the notifications department.",0
" With Jersey Central Power and Light, you have an automatic interruption of service.",0
" The service in the next 30 to 45 minutes, due to request a discontinue of the service service",0
 If you find this to be an error and would like to stop the int,0
 Please press warrant to speak with the notifications and disconnections department.,0
 The movement for Jersey's Central Power and Light to rectify the issuance of the interrupts,0
" ReYes, this is exceptionally significant.",0
 1.5kg 1kg 1kg 1kg 1kg 1kg 1kg 1kg 1kg 1kg 1kg 1kg 1kg 1kg,0
 Goodbye.,0
" In 25 minutes, due to request to discontinue a disservice or delinquent account status",0
" If you find this to be an error and would like to stop the interruption, please press",0
 to speak with the notifications and disconnections department for Jersey Central.,0
 power and light to rectify the issue and stop the interruption. Again.,0
 This is the notifications department which yours the central power and light.,0
 You have an automatic interruption of service in the next 30 to 45 minutes.,0
