transcript,label
" Dear customer, this call is from Amazon.",0
 customer support. This is to notify you,0
 Regarding your today's purchase on Amazon.com,0
 You have been charged $349.,0
 $99 cents on your Visa card.,0
 If you have made...,0
 have,0
 So. You have done contact alone.,0
 a man as young as college in regard to authorize.,0
 the payment of $299.,0
 We would like you to inform...,0
 that there has been an order place for an apple.,0
 phone 11 Pro using your account.,0
 If you do not authorize.,0
 then press 1 to see if our representatives.,0
 or press 2 to authorize.,0
 Thank you.,0
,0
,0
,0
 $299. We would like to,0
 form you that there is an order placed for.,0
 Apple iPhone 11 Pro using your Amazonic,0
 If you do not authorize this order.,0
 Press 1 or press 2 to authorize,0
 disorder.,0
 There is an order placed for Apple iPhone 11.,0
 Pro using your Amazon account.,0
" If you do not authorize this order, press 1.",0
 Press 2 to authorize the order.,0
 There is an order placed for Apple iPhone 11.,0
 Pro using your Amazon account.,0
" If you do not authorize this order, press 1.",0
 or press 2 to authorize this order.,0
 order placed for Apple iPhone 11 Pro.,0
 using your Amazon account. If you do,0
" not authorize this order. Press 1, 4.",0
 Press 2 to authorize the order.,0
 in order to play it for Apple iPhone 11 Pro.,0
 using your Amazon account. If you do,0
" do not authorize this order. Press 1, 4.",0
 to authorize this word.,0
 $199. We would like to,0
 inform you that there is an order placed for.,0
 Apple iPhone 11 Pro using your Amazon,0
 account. If you do not authorize this order.,0
 Press 1 or press 2 to authorize,0
 the order,0
 order placed for. Apalife on 11 Pro.,0
 using your Amazon account. If you do,0
" not authorize this order. Press 1, 4.",0
 Press 2 to authorize this order.,0
" There is an order placed for, Apple iPhone 11.",0
 Pro using your Amazon account.,0
" do not authorize this order. Press 1, 4,",0
 Press 2 to authorize the order.,0
" Hello, we are from Dead Release Solutions.",0
 We work with all your lenders such as Case.,0
" Bank of America, discover, well far going.",0
 and 20 others. Please press 1 to see,0
 our live representative. Please press one now.,0
 Now.,0
 minutes. Do the task to do balance.,0
 on your account if you find this to be an,0
" or would like to stop the interruption, please?",0
 Please press one to speak with the billing department of...,0
" Otherwise, please press 2 to speak with the disconnect.",0
 Action Department. Thank you for choosing.,0
 our services.,0
 You have an automatic utility out of the,0
 within the next 30 to 45 minutes.,0
 Do this has to do balance on your,0
 count if he finds this to be an error.,0
 would like to stop the interruption. Please press the...,0
" to speak with the billing department, otherwise...",0
 please press 2 to speak with the disconnection.,0
 Thank you for choosing our,0
 services.,0
 Klopp!,0
,0
,0
,0
" I can't pull that rope, I can't...",0
 Now you can find theattyiminoma,0
,0
,0
,0
光姐和戚姐要钱的那,0
,0
,0
,0
,0
,0
 for rate reduction is about to expire.,0
" Press one for more information, or hang up this call.",0
 Oh.,0
 We've been trying to reach you concerning your vehicle.,0
 extended warranty. Now you should have reached out to the,0
 something in the mail about that ocean.,0
" And since we've not gotten a response, we're...",0
 We're getting a final currency call before we close.,0
 out your file. You can press 1.,0
 that speaker someone about possibly already,0
 or stemming your warranty.,0
 We'll press 2 to be put on our D9.,0
 Or car 800 number 833304,0
" 1447, U.S. T-456.",0
 out your file. Press 2 to be put on our,0
 do not call lists or press one to speak to someone.,0
 on about possibly extending or re-inceding.,0
 your car's warranty. Again press...,0
 to speak to a warranty specialist or card.,0
 800 number 8333041447.,0
 UST456.,0
 I'm gonna have to repeat something in the mail about that lore.,0
" and since we've not got her,",0
 working with final courtesy call.,0
 before you close out your file.,0
 You can press one to speak with someone about us.,0
 exactly participating or defending your warmthOff,0
 or press G to be called.,0
 on our D-NART call number. Or call 800 number 83.,0
" 33041447, USC 45.",0
 That's it.,0
" Please, To your liking, please leave a comment. Please dodges your email address. Please, avoid serving food on the ground floor. And please walk out the street. Please, avoid reading the story. Please, avoid hitting on the notification bar. Thank you very much. Fuckingless, nothing to do with? You get the",0
 calling you from Expinity Comcast Cable.,0
 To let you know that your existing account is closed.,0
 qualified for 50% off.,0
" In order to avail the discount, timely call.",0
 Call us back at 855-9-6.,0
 1-5-1076.,0
 It's 8559.,0
,0
 from 8 a.m. till 9 p.m. Pacific,0
 standard time. Thank you and have a great,0
 day.,0
 먼저 식지향을 맞추둔,0
alomكم,0
 notifications department twintures recent,0
" If you have a natural power and light, you have an automatic",0
 interruption of service in the next 30 to 40.,0
" 45 minutes, due to request of this",0
 continue with the service or delinquent accounts staff.,0
 If you find this to be an error and,0
" If you would like to stop the interruptions, please press the button.",0
 want to speak with the notifications and,0
 Disconnection Department for Jersey Central.,0
 easily revlecting indoor power and light to rectify the issues,0
 and stop the interruption. Again.,0
 This is the notifications department.,0
 and with jersey central power and light.,0
 You have an automatic interruption of service,0
 and the next 30 to 45 minutes.,0
